smiles,reactants,reaction_names,num_steps,hits,compound_set
Cc1cc(NC(=O)CCn2ccc3cccnc32)n(C)n1,"[('O=C(O)CCn1ccc2cccnc21', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)c2ccc3c(c2)=NC(=S)N=3)n(C)n1,"[('O=C(O)c1ccc2c(c1)=NC(=S)N=2', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)CCn2ccc3ccccc32)n(C)n1,"[('O=C(O)CCn1ccc2ccccc21', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)CNC(=O)c2cc(C)nn2C)n(C)n1,"[('Cc1cc(C(=O)NCC(=O)O)n(C)n1', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)CCc2nc3ccccc3o2)n(C)n1,"[('O=C(O)CCc1nc2ccccc2o1', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)CCn2cnc3ccccc32)n(C)n1,"[('O=C(O)CCn1cnc2ccccc21', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)CCn2ncc3c2CCCC3)n(C)n1,"[('O=C(O)CCn1ncc2c1CCCC2', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)c2cc3cc(O)ccc3o2)n(C)n1,"[('O=C(O)c1cc2cc(O)ccc2o1', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)CCn2ncc3ccccc32)n(C)n1,"[('O=C(O)CCn1ncc2ccccc21', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1ccc2c(c1)cc(C(=O)Nc1cc(C)nn1C)n2C,"[('Cc1ccc2c(c1)cc(C(=O)O)n2C', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
Cc1cc(NC(=O)CNC(=O)Nc2ccccc2)n(C)n1,"[('O=C(O)CNC(=O)Nc1ccccc1', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
COc1ccc(/C=C/C(=O)Nc2cc(C)nn2C)cc1,"[('COc1ccc(/C=C/C(=O)O)cc1', 'Cc1cc(N)n(C)n1')]",Amidation,1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1 A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,matteo_reactants_aug_2024
