smiles,template,compound_set,hit1,hit2,hit3
CC(=O)Nc1cc(CC(=O)N[C@@H](CNC(=O)CN)c2cccnc2)c(NC(C)=O)nn1 |a:11|,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cc(CC(=O)NCC(NC(=O)CN)c2cccnc2)c(NC(C)=O)nn1,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)N[C@@H](CNC(=O)CN)c1cccnc1 |a:18|,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1nn(C)c(NC(C)=O)c1CC(=O)NCC(NC(=O)CN)c1cccnc1,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)N[C@@H](CNC(=O)CCl)c2ccc3ccccc3c2)c1 |a:17|,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)NCC(NC(=O)CCl)c2ccc3ccccc3c2)c1,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)N[C@@H](CNC(=O)CCl)c2cccnc2)c1 |a:17|,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)NCC(NC(=O)CCl)c2cccnc2)c1,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)N[C@@H](CNC(=O)CN)c2ccc3ccccc3c2)c1 |a:17|,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)NCC(NC(=O)CN)c2ccc3ccccc3c2)c1,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)N[C@@H](CNC(=O)CN)c2cccnc2)c1 |a:17|,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
CC(=O)Nc1cnc(NC(C)=O)c(CC(=O)NCC(NC(=O)CN)c2cccnc2)c1,Ax1346a,x1346_manual_analogues_aug_2024,A71EV2A-x1346_A_250_1_A71EV2A-x0526+A+147+1,,
