smiles,template,hits,compound_set,short_hits
Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
CC(C)(C)OC1CC(NC(=O)N2CCCC2CS(N)(=O)=O)C1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0556a Ax0719a
N#CCC1CC(NC(=O)N2CCCC(CS(N)(=O)=O)C2)C1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0556a Ax0719a
NS(=O)(=O)CC1CCCCN1C(=O)NC1(C(F)(F)F)CCC1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0556a Ax0719a
