smiles,template,hits,compound_set,short_hits
CCOC(=O)c1cc(NC(=O)CC#N)n(C)n1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+2,knitwork_june_2024,Ax0556a Ax0310a
CC(C)(C)C(=O)Nc1ccc(C(=O)NC2(C(F)F)CCC2)cn1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+3,knitwork_june_2024,Ax0556a Ax0310a
CCCC(=O)NC1CCN(C(=O)NC2CC(CC#N)C2)CC1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+4,knitwork_june_2024,Ax0556a Ax0310a
NC(=O)c1cc(NC(=O)C23CCC(CO2)C3)[nH]n1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+5 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0556a Ax0528a
O=C(NC1CC(C(F)(F)F)C1)c1cc2ccsc2[nH]1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+6 A71EV2A-x0566_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0556a Ax0566a
CC(C)(C)OC1CC(NC(=O)N2CCCC2CS(N)(=O)=O)C1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+7 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0556a Ax0719a
N#CCC1CC(NC(=O)N2CCCC(CS(N)(=O)=O)C2)C1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+7 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+2,knitwork_june_2024,Ax0556a Ax0719a
NS(=O)(=O)CC1CCCCN1C(=O)NC1(C(F)(F)F)CCC1,Ax0310a,A71EV2A-x0556_A_147_1_A71EV2A-x0526+A+147+7 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+3,knitwork_june_2024,Ax0556a Ax0719a
Cn1cc(C(O)C(=O)Nc2cccc(NC(=O)CC#N)c2)cn1,Ax0310a,A71EV2A-x0732_A_201_1_A71EV2A-x0526+A+147+1 A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0732a Ax0310a
CC1(NC(=O)Nc2ccccc2CS(N)(=O)=O)CCC1,Ax0310a,A71EV2A-x0884_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0719_A_301_1_A71EV2A-x0526+A+147+3,knitwork_june_2024,Ax0884a Ax0719a
CC(=O)Nc1ccc(NCc2ccccc2F)cn1,Ax0310a,A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0310a Ax0365a
CC(=O)N(C)c1ccc(NCc2cccc(C(C)C)c2)cn1,Ax0310a,A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+2 A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0310a Ax0365a
CC(=O)Nc1ccc(NCc2ccccc2C)cn1,Ax0310a,A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+3 A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0310a Ax0365a
CC(=O)N(C)c1ccc(NCc2ccccc2C2CC2)cn1 ,Ax0310a,A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+4 A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0310a Ax0365a
Cc1ccc(C(=O)Nc2ccc(N3CCNC(=O)C3)nc2)cc1C ,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+16 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
O=C1CCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)nc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+17 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
O=C1CCCN1c1ccc(NCc2cccc(F)c2)nc1,Ax0310a,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+18 A71EV2A-x0528_A_147_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0365a Ax0528a
CC(=O)Nc1ccc(C(=O)N(C)C)nc1,Ax0310a,A71EV2A-x0310_A_147_1_A71EV2A-x0526+A+147+1 A71EV2A-x0450_A_201_1_A71EV2A-x0526+A+147+1,knitwork_june_2024,Ax0310a Ax0450a
