smiles,template,compound_set,hit1,hit2,hit3,reactant_step1,reactant2_step1,reaction_name_step1,short_hits
Cn1nc(C2CCCOC2)cc1NC(=O)CC#N,A0310a,knitwork_june_2024,A0365a,A0310a,,,,,Ax0365a Ax0310a
CC(=O)Nc1ccc(NCc2cc(F)ccc2C)nc1,A0310a,knitwork_june_2024,A0365a,A0310a,,,,,Ax0365a Ax0310a
CC(=O)Nc1ccc(NCc2ccccc2C2CC2)nc1,A0310a,knitwork_june_2024,A0365a,A0310a,,,,,Ax0365a Ax0310a
CC(=O)Nc1ccc(NCc2c(C)cccc2F)nc1,A0310a,knitwork_june_2024,A0365a,A0310a,,,,,Ax0365a Ax0310a
Cn1ccc2ccc(NCc3ccccc3)cc21,A0310a,knitwork_june_2024,A0365a,A0451a,,,,,Ax0365a Ax0451a
Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
NCc1ccc(C(=O)Nc2c[nH]c3ccccc23)cc1,A0310a,knitwork_june_2024,A0365a,A0566a,,,,,Ax0365a Ax0566a
Cc1ncc(C(=O)N(C)C2CN(C3CCNC3=O)C2)s1,A0310a,knitwork_june_2024,A0446a,A0528a,,,,,Ax0446a Ax0528a
CCC(C)CC(=O)Nc1ccc(C(=O)N(C)C)cc1,A0310a,knitwork_june_2024,A0450a,A0310a,,,,,Ax0450a Ax0310a
CN(C)C(=O)c1ccc(NC(=O)CC(C)(C)C(F)(F)F)c(F)c1,A0310a,knitwork_june_2024,A0450a,A0310a,,,,,Ax0450a Ax0310a
